OID_,CID,Temp2019,Temp21
393,1,19.6700001,19.5000000
394,1,17.7600002,22.1299992
395,1,20.1599998,23.5200005
396,1,17.4799995,18.4799995
397,1,17.6599998,21.6000004
398,1,21.3199997,20.0499992
399,1,18.6800003,21.6599998
400,1,18.0400009,19.5799999
401,1,16.6700001,19.2000008
402,1,22.9300003,25.0799999
403,1,20.2199993,21.9200001
404,1,16.1599998,18.9099998
405,1,17.0200005,18.5200005
406,1,17.6299992,21.7600002
407,1,16.8299999,18.4400005
408,1,17.3600006,19.3700008
409,1,17.2199993,18.9599991
410,1,17.4099998,18.7199993
411,1,17.3899994,19.7399998
412,1,17.3700008,18.7600002
413,1,18.8099995,21.9400005
414,1,17.5000000,18.9699993
415,1,17.1299992,18.9300003
416,1,25.2000008,26.0900002
417,1,17.2000008,18.7500000
418,1,17.0699997,18.6499996
419,1,17.1800003,18.5599995
420,1,18.0300007,20.4899998
421,1,17.4599991,18.8600006
422,1,21.6900005,23.5100002
423,1,18.0799999,21.0300007
424,1,18.3500004,20.8999996
425,1,18.4500008,22.1700001
426,1,20.1000004,21.3799992
427,1,19.1599998,23.3500004
428,1,19.3799992,23.0900002
429,1,23.2700005,22.9599991
430,1,19.6499996,22.0499992
431,1,17.7299995,20.9099998
432,1,17.7000008,19.7199993
433,1,23.6700001,24.0200005
434,1,19.3299999,19.5699997
435,1,22.6200008,22.5900002
436,1,22.3899994,23.4899998
437,1,26.7700005,26.8799992
438,1,18.5799999,20.1800003
439,1,18.8299999,21.1399994
440,1,18.1100006,20.9699993
441,1,18.0699997,20.1000004
442,1,20.6599998,18.8999996
443,1,18.8299999,21.2099991
444,1,17.8199997,19.7399998
445,1,20.9699993,22.8799992
446,1,17.6399994,19.5300007
447,1,19.3700008,22.5100002
448,1,20.2000008,22.7800007
449,1,17.5599995,19.5499992
450,1,22.8899994,31.0900002
451,1,19.3899994,24.4400005
452,1,17.5400009,25.0400009
453,1,17.4099998,21.1900005
454,1,19.6800003,22.4799995
455,1,24.1399994,25.1200008
456,1,22.7500000,25.8799992
457,1,23.6000004,24.8799992
458,1,17.6599998,20.2099991
459,1,18.6900005,18.4799995
460,1,19.1000004,19.8199997
461,1,17.6499996,20.9699993
462,1,20.2900009,20.3099995
463,1,18.3600006,20.6299992
464,1,19.2999992,20.6200008
465,1,21.4599991,20.2999992
466,1,17.5699997,19.3500004
467,1,17.7099991,19.4500008
468,1,19.7399998,23.0900002
469,1,20.1700001,22.5300007
470,1,18.5499992,20.8799992
471,1,24.7199993,24.7600002
472,1,18.5799999,20.1599998
473,1,17.5799999,19.9699993
474,1,17.7999992,21.2299995
475,1,19.4400005,21.7299995
476,1,17.2999992,18.8500004
477,1,19.6700001,19.8700008
478,1,18.7700005,23.2999992
479,1,18.1299992,20.8600006
480,1,19.2800007,21.0000000
481,1,22.0100002,19.9500008
482,1,17.6100006,19.5699997
483,1,23.2900009,18.8700008
484,1,17.7399998,19.1499996
485,1,27.0499992,18.7900009
486,1,34.6800003,19.2000008
487,1,19.5499992,20.9500008
488,1,20.5599995,20.4799995
489,1,20.0400009,19.2500000
490,1,21.3700008,22.0100002
491,1,18.9699993,19.5100002
492,1,22.2099991,19.7000008
493,1,34.5400009,25.4699993
494,1,19.1599998,19.0000000
495,1,21.2199993,23.7999992
496,1,34.5600014,24.2500000
497,1,17.3299999,17.9400005
498,1,21.2900009,24.9500008
499,1,30.6800003,18.2399998
500,1,18.0000000,21.5100002
501,1,19.2999992,20.0900002
502,1,19.2399998,19.3999996
503,1,18.1299992,19.2900009
504,1,18.8899994,20.9099998
505,1,18.3600006,19.0900002
506,1,25.4099998,26.3799992
507,1,25.6800003,22.0499992
508,1,21.0000000,20.3500004
509,1,21.2999992,21.8799992
510,1,22.9599991,20.4599991
511,1,18.1599998,19.3299999
512,1,32.1800003,21.1800003
513,1,24.9599991,19.5900002
