OID_,CID,temp09,temp19,temp09c
327,1,177,18.1100006,17.7000008
328,1,176,16.2600002,17.6000004
329,1,175,16.7399998,17.5000000
330,1,177,19.1900005,17.7000008
331,1,175,18.8700008,17.5000000
332,1,176,16.4099998,17.6000004
333,1,175,17.7600002,17.5000000
334,1,175,16.6599998,17.5000000
335,1,175,17.8199997,17.5000000
336,1,176,16.7999992,17.6000004
337,1,176,17.2600002,17.6000004
338,1,175,16.7900009,17.5000000
339,1,177,20.7600002,17.7000008
340,1,177,16.9200001,17.7000008
341,1,175,16.4200001,17.5000000
342,1,176,16.9500008,17.6000004
343,1,177,16.6900005,17.7000008
344,1,176,21.0799999,17.6000004
345,1,175,16.8199997,17.5000000
346,1,176,15.8100004,17.6000004
347,1,176,16.0599995,17.6000004
348,1,177,16.0599995,17.7000008
349,1,176,16.0499992,17.6000004
350,1,176,18.9099998,17.6000004
351,1,176,16.0400009,17.6000004
352,1,176,17.4699993,17.6000004
353,1,175,19.2900009,17.5000000
354,1,177,18.5900002,17.7000008
355,1,208,22.9599991,20.7999992
356,1,175,20.0100002,17.5000000
357,1,176,18.7800007,17.6000004
358,1,176,16.4099998,17.6000004
359,1,176,16.2700005,17.6000004
360,1,177,16.2500000,17.7000008
361,1,176,16.5400009,17.6000004
362,1,177,16.2000008,17.7000008
363,1,169,17.7999992,16.8999996
364,1,174,17.8899994,17.3999996
365,1,178,17.3500004,17.7999992
366,1,175,18.6900005,17.5000000
367,1,173,17.2800007,17.2999992
368,1,183,15.5100002,18.2999992
369,1,180,18.9400005,18.0000000
370,1,176,19.5200005,17.6000004
371,1,176,17.5300007,17.6000004
372,1,177,17.2500000,17.7000008
373,1,175,15.6599998,17.5000000
374,1,178,20.1200008,17.7999992
375,1,176,18.5900002,17.6000004
376,1,177,17.9400005,17.7000008
377,1,175,16.0300007,17.5000000
378,1,175,16.1200008,17.5000000
379,1,174,15.9899998,17.3999996
380,1,175,16.0400009,17.5000000
381,1,181,16.5400009,18.1000004
382,1,176,16.0499992,17.6000004
383,1,174,15.7500000,17.3999996
384,1,180,17.3099995,18.0000000
385,1,169,16.6299992,16.8999996
386,1,174,16.8899994,17.3999996
387,1,176,16.0499992,17.6000004
388,1,175,16.1599998,17.5000000
389,1,174,19.3199997,17.3999996
390,1,173,16.9400005,17.2999992
391,1,181,15.3299999,18.1000004
392,1,177,15.8400002,17.7000008
393,1,175,15.9099998,17.5000000
394,1,174,16.0000000,17.3999996
