OID_,CID,TIR2019,TIR2021,TIR2009
344,1,17.6299992,18.1499996,17.7000008
345,1,16.9500008,18.6200008,17.5000000
346,1,17.3500004,18.3199997,17.7000008
347,1,16.4599991,18.4300003,17.3999996
348,1,17.1200008,19.1100006,17.7999992
349,1,16.6000004,18.4300003,17.6000004
350,1,16.8199997,18.4500008,17.5000000
351,1,16.7199993,18.3099995,17.5000000
352,1,16.6100006,18.3299999,17.5000000
353,1,16.8999996,18.9799995,17.7999992
354,1,17.3600006,18.4400005,17.7000008
355,1,16.7099991,19.4699993,17.6000004
356,1,17.6700001,19.3400002,17.6000004
357,1,17.0300007,18.0799999,17.7000008
358,1,16.6800003,18.5799999,17.6000004
359,1,17.0000000,18.2099991,17.5000000
360,1,16.4200001,18.3199997,17.6000004
361,1,16.7999992,18.3899994,17.6000004
362,1,17.4500008,18.5599995,17.5000000
363,1,16.9200001,18.8099995,17.7999992
364,1,16.8099995,18.3500004,17.3999996
365,1,17.0799999,18.7000008,17.5000000
366,1,16.8899994,18.4200001,17.6000004
367,1,17.4300003,18.8500004,17.5000000
368,1,17.5499992,18.4699993,17.3999996
369,1,16.8999996,18.2600002,17.3999996
370,1,16.6900005,18.4599991,17.5000000
371,1,16.9799995,18.2999992,17.3999996
372,1,17.3899994,19.0499992,17.3999996
373,1,17.3700008,18.6399994,17.5000000
374,1,16.9699993,17.9300003,17.2999992
375,1,17.9200001,18.4799995,17.2999992
376,1,16.9799995,18.6800003,17.5000000
377,1,17.6399994,18.7099991,17.3999996
378,1,16.9699993,18.9899998,17.7000008
379,1,17.2900009,18.1499996,17.2999992
380,1,17.1499996,18.3500004,17.3999996
381,1,16.9899998,18.7900009,17.3999996
382,1,16.6700001,18.2600002,17.3999996
383,1,17.0400009,18.6399994,17.5000000
384,1,17.1299992,18.7199993,17.6000004
385,1,16.7500000,18.5400009,17.6000004
386,1,17.5300007,19.0200005,17.3999996
387,1,16.9899998,18.0200005,17.3999996
388,1,17.0900002,18.7199993,17.3999996
389,1,16.9899998,18.7099991,17.7000008
390,1,16.9500008,18.6299992,17.7999992
391,1,17.0499992,18.4799995,17.3999996
392,1,16.8199997,18.2700005,17.3999996
393,1,17.2399998,18.6700001,17.6000004
