point_id,year,dist_m,C_2009,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
63,2019,94,17.7503166,1,0,14.15,826,0.325,28.9
64,2019,96,17.8333206,1,0,14.15,826,0.325,28.9
65,2019,98,17.6765347,1,0,14.15,826,0.325,28.9
66,2019,106,17.6857567,1,0,14.15,826,0.325,28.9
67,2019,108,17.6119747,1,0,14.15,826,0.325,28.9
68,2019,110,17.8333206,1,0,14.15,826,0.325,28.9
69,2019,112,17.8148746,1,0,14.15,826,0.325,28.9
70,2019,114,17.7410927,1,0,14.15,826,0.325,28.9
71,2019,116,17.9901085,1,0,14.15,826,0.325,28.9
72,2019,118,17.8794346,1,0,14.15,826,0.325,28.9
73,2019,120,18.1007805,1,0,14.15,826,0.325,28.9
74,2019,122,18.2206764,1,0,14.15,826,0.325,28.9
75,2019,126,19.050724,1,0,14.15,826,0.325,28.9
76,2019,128,18.2022305,1,0,14.15,826,0.325,28.9
77,2019,130,18.1468945,1,0,14.15,826,0.325,28.9
78,2019,134,18.3129044,1,0,14.15,826,0.325,28.9
79,2019,136,18.1468945,1,0,14.15,826,0.325,28.9
80,2019,138,18.0177746,1,0,14.15,826,0.325,28.9
81,2019,140,17.8333206,1,0,14.15,826,0.325,28.9
82,2019,142,17.8794346,1,0,14.15,826,0.325,28.9
83,2019,144,17.8333206,1,0,14.15,826,0.325,28.9
84,2019,146,17.9439926,1,0,14.15,826,0.325,28.9
85,2019,148,17.9716625,1,0,14.15,826,0.325,28.9
86,2019,1018,18.1561184,1,0,14.15,826,0.325,28.9
87,2019,1028,17.7410927,1,0,14.15,826,0.325,28.9
88,2019,1074,18.1100025,1,0,14.15,826,0.325,28.9
89,2019,1076,18.1284485,1,0,14.15,826,0.325,28.9
90,2019,1078,18.1561184,1,0,14.15,826,0.325,28.9
91,2019,1080,18.1561184,1,0,14.15,826,0.325,28.9
92,2019,1082,17.9808846,1,0,14.15,826,0.325,28.9
93,2019,1084,18.1007805,1,0,14.15,826,0.325,28.9
94,2019,1086,18.0823364,1,0,14.15,826,0.325,28.9
95,2019,1088,17.8978806,1,0,14.15,826,0.325,28.9
96,2019,1090,17.9901085,1,0,14.15,826,0.325,28.9
97,2019,1092,18.1007805,1,0,14.15,826,0.325,28.9
98,2019,1094,18.1745625,1,0,14.15,826,0.325,28.9
99,2019,1096,18.3129044,1,0,14.15,826,0.325,28.9
100,2019,428,18.1745625,1,0,14.15,826,0.325,28.9
101,2019,438,17.7410927,1,0,14.15,826,0.325,28.9
102,2019,440,17.8240986,1,0,14.15,826,0.325,28.9
103,2019,442,18.6541462,1,0,14.15,826,0.325,28.9
104,2019,352,18.2483444,1,0,14.15,826,0.325,28.9
105,2019,354,17.8333206,1,0,14.15,826,0.325,28.9
106,2019,356,18.1930084,1,0,14.15,826,0.325,28.9
107,2019,358,18.2022305,1,0,14.15,826,0.325,28.9
108,2019,360,18.3036823,1,0,14.15,826,0.325,28.9
109,2019,844,18.6080322,1,0,14.15,826,0.325,28.9
110,2019,846,18.6172562,1,0,14.15,826,0.325,28.9
111,2019,848,18.3590183,1,0,14.15,826,0.325,28.9
112,2019,850,18.4051304,1,0,14.15,826,0.325,28.9
113,2019,852,18.3866863,1,0,14.15,826,0.325,28.9
114,2019,854,18.3959084,1,0,14.15,826,0.325,28.9
115,2019,856,18.3129044,1,0,14.15,826,0.325,28.9
116,2019,858,18.2299004,1,0,14.15,826,0.325,28.9
117,2019,860,18.0915565,1,0,14.15,826,0.325,28.9
118,2019,862,18.2667904,1,0,14.15,826,0.325,28.9
119,2019,864,18.2852364,1,0,14.15,826,0.325,28.9
120,2019,866,18.3405724,1,0,14.15,826,0.325,28.9
121,2019,868,18.3590183,1,0,14.15,826,0.325,28.9
122,2019,870,18.2483444,1,0,14.15,826,0.325,28.9
123,2019,872,18.3497944,1,0,14.15,826,0.325,28.9
124,2019,874,18.3497944,1,0,14.15,826,0.325,28.9
125,2019,876,18.2575665,1,0,14.15,826,0.325,28.9
126,2019,878,18.3036823,1,0,14.15,826,0.325,28.9
