OID_,CID,temp2019,temp2021,temp2019_1,temp2021_1
97,1,17.7199993,21.4099998,17.7199993,21.4099998
98,1,24.5599995,23.5400009,24.5599995,23.5400009
99,1,21.6700001,22.0699997,21.6700001,22.0699997
100,1,17.7999992,20.7600002,17.7999992,20.7600002
101,1,18.3700008,19.1599998,18.3700008,19.1599998
102,1,17.9200001,18.6200008,17.9200001,18.6200008
103,1,18.1900005,20.7000008,18.1900005,20.7000008
104,1,17.9300003,18.8600006,17.9300003,18.8600006
105,1,17.7700005,19.1100006,17.7700005,19.1100006
106,1,16.5400009,18.2500000,16.5400009,18.2500000
107,1,20.6299992,22.4699993,20.6299992,22.4699993
108,1,17.7800007,19.3600006,17.7800007,19.3600006
109,1,18.6499996,19.7299995,18.6499996,19.7299995
110,1,19.0900002,18.7399998,19.0900002,18.7399998
111,1,16.9799995,18.1800003,16.9799995,18.1800003
112,1,17.7800007,18.7999992,17.7800007,18.7999992
113,1,18.0100002,19.4200001,18.0100002,19.4200001
114,1,17.0200005,18.4500008,17.0200005,18.4500008
115,1,16.8700008,18.7500000,16.8700008,18.7500000
116,1,16.9799995,19.2900009,16.9799995,19.2900009
117,1,17.3899994,18.7199993,17.3899994,18.7199993
118,1,21.4699993,21.1499996,21.4699993,21.1499996
119,1,19.1700001,19.9300003,19.1700001,19.9300003
120,1,16.2000008,17.2800007,16.2000008,17.2800007
121,1,17.7600002,18.9899998,17.7600002,18.9899998
122,1,17.3199997,19.3899994,17.3199997,19.3899994
123,1,17.7999992,18.3500004,17.7999992,18.3500004
124,1,16.8299999,17.6000004,16.8299999,17.6000004
125,1,17.3299999,18.6599998,17.3299999,18.6599998
126,1,17.0200005,17.8199997,17.0200005,17.8199997
127,1,17.1900005,18.1900005,17.1900005,18.1900005
128,1,16.0799999,18.2399998,16.0799999,18.2399998
129,1,20.9200001,25.1599998,20.9200001,25.1599998
130,1,16.3299999,17.4599991,16.3299999,17.4599991
131,1,17.0499992,18.3999996,17.0499992,18.3999996
132,1,16.3099995,17.5499992,16.3099995,17.5499992
133,1,17.3400002,20.0499992,17.3400002,20.0499992
134,1,18.8600006,19.6100006,18.8600006,19.6100006
135,1,16.9200001,18.5200005,16.9200001,18.5200005
136,1,16.3600006,17.5200005,16.3600006,17.5200005
137,1,16.3700008,17.2500000,16.3700008,17.2500000
138,1,17.3700008,18.4699993,17.3700008,18.4699993
139,1,19.3500004,20.7500000,19.3500004,20.7500000
140,1,18.1499996,18.1299992,18.1499996,18.1299992
141,1,16.6100006,17.6399994,16.6100006,17.6399994
142,1,17.8400002,18.9400005,17.8400002,18.9400005
143,1,18.4799995,18.9699993,18.4799995,18.9699993
144,1,17.7500000,18.2199993,17.7500000,18.2199993
145,1,17.1700001,18.4099998,17.1700001,18.4099998
146,1,17.4599991,18.6299992,17.4599991,18.6299992
147,1,16.5200005,17.9200001,16.5200005,17.9200001
148,1,16.2999992,18.3099995,16.2999992,18.3099995
149,1,16.6399994,18.4200001,16.6399994,18.4200001
150,1,17.4599991,18.0599995,17.4599991,18.0599995
151,1,23.9699993,24.9699993,23.9699993,24.9699993
152,1,16.9799995,17.9599991,16.9799995,17.9599991
153,1,17.5699997,19.1499996,17.5699997,19.1499996
154,1,23.2999992,23.0100002,23.2999992,23.0100002
155,1,16.6399994,17.5599995,16.6399994,17.5599995
156,1,16.0799999,17.6800003,16.0799999,17.6800003
157,1,18.5599995,24.8400002,18.5599995,24.8400002
158,1,16.2099991,17.7999992,16.2099991,17.7999992
159,1,16.4099998,17.8700008,16.4099998,17.8700008
160,1,16.5499992,18.4699993,16.5499992,18.4699993
161,1,16.8600006,18.1200008,16.8600006,18.1200008
162,1,17.3500004,19.8400002,17.3500004,19.8400002
163,1,16.1700001,17.7700005,16.1700001,17.7700005
164,1,17.5000000,18.5300007,17.5000000,18.5300007
165,1,17.2199993,18.2700005,17.2199993,18.2700005
166,1,17.9699993,17.9400005,17.9699993,17.9400005
