"","FileName","SceneTemperature","ImagerTemperatureC","GPSLatitude","GPSLongitude","GPSAltitude"
"174","IMG_0197_6.tif",32.17,38.2099853515625,44.1591595,-122.2892523,492.863
"175","IMG_0198_6.tif",31.87,38.2099853515625,44.1589721,-122.2892518,492.892
"176","IMG_0199_6.tif",32.33,38.2199951171875,44.158684,-122.2892493,492.658
"177","IMG_0200_6.tif",32.89,38.2199951171875,44.1585115,-122.2892469,492.644
"178","IMG_0201_6.tif",32.61,38.2400146484375,44.158264,-122.2892458,492.67
"179","IMG_0202_6.tif",34.79,38.2600036621094,44.1580354,-122.289246,492.622
"180","IMG_0203_6.tif",36.7500000000001,38.2700134277344,44.157819,-122.2892442,492.69
"181","IMG_0204_6.tif",36.87,38.2900024414063,44.1576029,-122.2892444,492.624
"182","IMG_0205_6.tif",37.23,38.3200012207031,44.1574435,-122.289244,492.534
"183","IMG_0206_6.tif",37.77,38.3300109863281,44.1572432,-122.2892448,492.573
"184","IMG_0207_6.tif",38.35,38.3799987792969,44.1569562,-122.2892468,492.563
"185","IMG_0208_6.tif",37.6300000000001,38.3999877929688,44.1567547,-122.2892463,492.545
"186","IMG_0209_6.tif",37.5700000000001,38.4099975585938,44.1565803,-122.2892458,492.384
"187","IMG_0210_6.tif",36.97,38.4500061035156,44.1563222,-122.2892463,492.557
"188","IMG_0211_6.tif",37.95,38.4599853515625,44.1561361,-122.2892474,492.538
"189","IMG_0212_6.tif",37.77,38.4699951171875,44.1560394,-122.2892498,492.427
"190","IMG_0213_6.tif",37.65,38.4999938964844,44.1560436,-122.2892446,492.216
"191","IMG_0214_6.tif",37.91,38.5200134277344,44.156042,-122.289063,492.205
"192","IMG_0215_6.tif",37.79,38.5400024414063,44.1560425,-122.2886989,492.556
"193","IMG_0216_6.tif",37.41,38.5400024414063,44.1560437,-122.2884222,493.067
"194","IMG_0217_6.tif",36.23,38.5500122070313,44.1560462,-122.288413,492.716
"195","IMG_0218_6.tif",37.7500000000001,38.5500122070313,44.156063,-122.2884124,492.222
"196","IMG_0219_6.tif",36.51,38.5299926757813,44.1563686,-122.2884044,492.862
"197","IMG_0220_6.tif",37.47,38.5200134277344,44.1565118,-122.288404,492.915
"198","IMG_0221_6.tif",37.2500000000001,38.6299987792969,44.1567994,-122.2884028,493.316
"199","IMG_0222_6.tif",37.1300000000001,38.610009765625,44.1569433,-122.2884013,493.382
"200","IMG_0223_6.tif",36.27,38.610009765625,44.1571587,-122.2884008,493.48
"201","IMG_0224_6.tif",37.79,38.6,44.157417,-122.2883986,493.389
"202","IMG_0225_6.tif",37.35,38.6,44.1576478,-122.2883993,493.239
"203","IMG_0226_6.tif",37.61,38.5800109863281,44.1578067,-122.2883992,493.31
"204","IMG_0227_6.tif",36.87,38.5599914550781,44.1580831,-122.2884003,493.595
"205","IMG_0228_6.tif",36.51,38.5500122070313,44.1582417,-122.2884018,493.652
"206","IMG_0229_6.tif",36.1300000000001,38.5200134277344,44.1584727,-122.2884052,493.588
"207","IMG_0230_6.tif",33.73,38.4800048828125,44.1586456,-122.2884048,493.644
"208","IMG_0231_6.tif",32.87,38.4500061035156,44.1589039,-122.2884021,493.586
"209","IMG_0232_6.tif",32.99,38.4099975585938,44.1591017,-122.2884001,493.082
"210","IMG_0233_6.tif",30.93,38.3699890136719,44.1593163,-122.2883953,493.014
"211","IMG_0234_6.tif",32.89,38.35,44.1595459,-122.2883969,492.975
"212","IMG_0235_6.tif",34.47,38.3200012207031,44.1597757,-122.2883983,492.79
"213","IMG_0236_6.tif",34.1900000000001,38.3000122070313,44.159979,-122.2884001,492.742
"214","IMG_0237_6.tif",37.5700000000001,38.2700134277344,44.1601952,-122.288399,493.031
"215","IMG_0238_6.tif",43.89,38.2300048828125,44.1604278,-122.2884016,493.273
"216","IMG_0239_6.tif",38.43,38.2199951171875,44.1605621,-122.2884042,493.052
