OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
108,888,556766.678700000047684,4889937.197300000116229,0.0453461,208,16.5499992,2009,0,0,15.1,511,0.717,26.7
109,890,556764.767099999822676,4889937.785499999299645,0.1049108,206,16.6499996,2009,0,0,15.1,511,0.717,26.7
110,892,556762.896099999547005,4889937.510999999940395,0.0917917,204,16.6499996,2009,0,0,15.1,511,0.717,26.7
111,894,556761.048000000417233,4889936.746300000697374,0.0457698,202,16.5499992,2009,0,0,15.1,511,0.717,26.7
112,896,556759.200000000186265,4889935.981599999591708,0.1493429,200,16.75,2009,0,0,15.1,511,0.717,26.7
113,898,556757.351999999955297,4889935.216900000348687,0.1100296,198,16.6499996,2009,0,0,15.1,511,0.717,26.7
114,908,556748.111800000071526,4889931.393400000408292,0.1116194,188,16.6499996,2009,0,0,15.1,511,0.717,26.7
115,918,556738.871600000187755,4889927.569900000467896,0.2759475,178,16.8499985,2009,0,0,15.1,511,0.717,26.7
116,930,556727.783400000073016,4889922.981599999591708,0.1870985,166,16.75,2009,0,0,15.1,511,0.717,26.7
117,932,556725.935399999842048,4889922.216900000348687,0.1669661,164,16.75,2009,0,0,15.1,511,0.717,26.7
118,934,556724.087399999611080,4889921.452199999243021,0.1640006,162,16.6499996,2009,0,0,15.1,511,0.717,26.7
119,936,556722.239299999549985,4889920.687500000000000,0.1123465,160,16.6499996,2009,0,0,15.1,511,0.717,26.7
120,938,556720.400799999944866,4889919.900399999693036,0.1689174,158,16.75,2009,0,0,15.1,511,0.717,26.7
121,940,556718.568699999712408,4889919.098400000482798,0.216306,156,16.75,2009,0,0,15.1,511,0.717,26.7
122,942,556716.736499999649823,4889918.296399999409914,0.1415345,154,16.6499996,2009,0,0,15.1,511,0.717,26.7
123,944,556714.904400000348687,4889917.494400000199676,0.202882,152,16.75,2009,0,0,15.1,511,0.717,26.7
124,776,556876.806300000287592,4889928.987299999222159,-0.0464261,320,16.4499989,2009,0,0,15.1,511,0.717,26.7
125,778,556874.821700000204146,4889929.234300000593066,-0.0715637,318,16.4499989,2009,0,0,15.1,511,0.717,26.7
126,780,556872.837000000290573,4889929.481200000271201,-0.0066535,316,16.5499992,2009,0,0,15.1,511,0.717,26.7
127,782,556870.868300000205636,4889929.800499999895692,-0.0790469,314,16.4499989,2009,0,0,15.1,511,0.717,26.7
128,784,556868.965400000102818,4889930.416200000792742,-0.0472554,312,16.4499989,2009,0,0,15.1,511,0.717,26.7
129,786,556867.062500000000000,4889931.031799999997020,-0.0922897,310,16.3499985,2009,0,0,15.1,511,0.717,26.7
130,798,556855.645200000144541,4889934.725600000470877,-0.0464261,298,16.4499989,2009,0,0,15.1,511,0.717,26.7
131,800,556853.718399999663234,4889935.252199999988079,-0.0418388,296,16.3499985,2009,0,0,15.1,511,0.717,26.7
132,802,556851.762799999676645,4889935.671299999579787,0.0029729,294,16.5499992,2009,0,0,15.1,511,0.717,26.7
133,804,556849.807199999690056,4889936.090399999171495,-0.0352032,292,16.4499989,2009,0,0,15.1,511,0.717,26.7
134,806,556847.851599999703467,4889936.509400000795722,-0.0103068,290,16.4499989,2009,0,0,15.1,511,0.717,26.7
135,808,556845.895999999716878,4889936.928500000387430,-0.0901549,288,16.3499985,2009,0,0,15.1,511,0.717,26.7
136,810,556843.940399999730289,4889937.347599999979138,-0.0800646,286,16.4499989,2009,0,0,15.1,511,0.717,26.7
