OID_,ORIG_FID,DIST_M,COUNT09,AREA09,MIN09,MAX09,RANGE09,MEAN09,STD09,SUM09,MEDIAN09,PCT90_09,COUNT19,AREA19,MIN19,MAX19,RANGE19,MEAN19,STD19,SUM19,MEDIAN19,PCT90_19,COUNT21,AREA21,MIN21,MAX21,RANGE21,MEAN21,STD21,SUM21,MEDIAN21,PCT90_21
51,64,128,8,2.88,-0.20902583,-0.063564055,0.145461775,-0.081746777,0.04810696,-0.653974213,-0.063564055,-0.063564055,776,2.902720338,-0.679736972,0.556681216,1.236418188,-0.430822958,0.179155092,-334.3186154,-0.446999252,-0.272447318,559,2.882421375,-1.760120511,-1.338281631,0.42183888,-1.570863589,0.10559126,-878.1127464,-1.571019411,-1.425557613
52,65,130,6,2.16,-0.20902583,-0.063564055,0.145461775,-0.160538572,0.068571339,-0.963231429,-0.20902583,-0.063564055,61,0.228177759,-0.301537454,3.407722712,3.709260166,0.73028228,0.975093407,44.54721907,0.251213968,2.273124218,44,0.22688111,-1.585565805,-1.396467447,0.189098358,-1.470849698,0.056610708,-64.71738672,-1.469196916,-1.400830543
53,66,132,1,0.36,-0.354484856,-0.354484856,0,-0.354484856,0,-0.354484856,-0.354484856,-0.354484856,484,1.810459592,-0.70882988,1.313080311,2.021910191,-0.157790509,0.487738674,-76.37060637,-0.345176816,0.606139159,348,1.794423325,-1.832849979,-1.367374539,0.46547544,-1.582640017,0.112414328,-550.7587259,-1.600112319,-1.425557613
54,67,134,9,3.24,-0.354484856,-0.20902583,0.145459026,-0.322160628,0.060473093,-2.899445653,-0.354484856,-0.20902583,838,3.134638716,-0.781559408,-0.228807956,0.552751452,-0.559376559,0.120759046,-468.7575568,-0.563368082,-0.388816178,606,3.124771652,-1.861942887,-1.396467447,0.46547544,-1.625291584,0.115669594,-984.9266998,-1.643751621,-1.454650521
55,68,136,9,3.24,-0.354484856,-0.20902583,0.145459026,-0.322160628,0.060473093,-2.899445653,-0.354484856,-0.20902583,597,2.233149538,-0.810652316,0.149391562,0.960043877,-0.585979949,0.193313258,-349.8300297,-0.665190518,-0.286993772,434,2.237872767,-1.745574117,-1.469196916,0.276377201,-1.60544102,0.056201681,-696.7614028,-1.600112319,-1.541926503
56,69,138,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.354485542,0.102856033,-2.835884333,-0.354484856,-0.20902583,144,0.538649135,-0.534277976,-0.374269724,0.160008252,-0.468213117,0.037787385,-67.42268878,-0.47609216,-0.407725757,104,0.536264442,-1.556472898,-1.323735237,0.23273766,-1.441643172,0.052753046,-149.9308898,-1.447377264,-1.367374539
57,70,140,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.402972112,0.096974512,-3.626749009,-0.354484856,-0.354484856,841,3.145860573,-0.679736972,-0.228807956,0.450929016,-0.395976024,0.095944345,-333.0158365,-0.388816178,-0.272447318,606,3.124771652,-1.454650521,-0.494606644,0.960043877,-1.100743145,0.269473094,-667.0503459,-1.178273439,-0.66916132
58,71,142,9,3.24,-0.499946624,-0.354484856,0.145461768,-0.435296949,0.072280534,-3.917672545,-0.499946624,-0.354484856,836,3.127157478,-0.767015696,-0.228807956,0.53820774,-0.555625896,0.14235891,-464.503249,-0.59246105,-0.345176816,606,3.124771652,-0.974628568,-0.465513736,0.509114832,-0.753988371,0.095850656,-456.9169526,-0.741890848,-0.654614866
59,72,144,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.372668263,0.113550068,-2.981346101,-0.354484856,-0.20902583,832,3.112195002,-1.188851833,-0.47609216,0.712759674,-0.828835616,0.159819601,-689.5912325,-0.810652316,-0.607007504,608,3.135084429,-1.018267989,0.072691254,1.090959243,-0.435656498,0.321897218,-264.8791509,-0.421877146,-0.014584702
60,73,146,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.336302821,0.087200266,-2.690422565,-0.354484856,-0.20902583,840,3.142119954,-1.203398228,-0.781559408,0.42183882,-1.024862038,0.067951679,-860.8841117,-1.01429987,-0.941567659,603,3.109302485,-0.930989206,0.0581448,0.989134006,-0.412492218,0.270334841,-248.7328076,-0.392784238,-0.072767749
61,74,148,9,3.24,-0.499946624,-0.20902583,0.290920794,-0.386809998,0.091427854,-3.481289983,-0.354484856,-0.325393051,834,3.11967624,-1.130668759,-0.679736972,0.450931787,-0.980584607,0.075983597,-817.8075619,-0.999753475,-0.883384585,609,3.140240818,-1.018267989,-0.276415348,0.741852641,-0.593276653,0.190715435,-361.3054819,-0.567336142,-0.3636913
62,75,150,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.336302821,0.087200266,-2.690422565,-0.354484856,-0.20902583,841,3.145860573,-1.203398228,-0.897931039,0.305467188,-1.067259568,0.045624165,-897.5652968,-1.057936549,-1.01429987,609,3.140240818,-0.960082114,-0.276415348,0.683666766,-0.665362364,0.162468688,-405.2056797,-0.71279794,-0.421877146
63,76,152,11,3.96,-0.499946624,-0.20902583,0.290920794,-0.433827888,0.095357569,-4.772106767,-0.499946624,-0.354484856,832,3.112195002,-1.203398228,-0.694283426,0.509114802,-0.915745178,0.109759465,-761.8999878,-0.912474692,-0.781559408,607,3.12992804,-1.149183273,-0.3636913,0.785491973,-0.733359541,0.198712003,-445.1492415,-0.727344394,-0.465513736
64,77,154,9,3.24,-0.499946624,-0.354484856,0.145461768,-0.419134531,0.072280534,-3.772210777,-0.354484856,-0.354484856,835,3.123416859,-0.956114113,-0.767015696,0.189098418,-0.834327285,0.038056054,-696.6632833,-0.82519877,-0.781559408,608,3.135084429,-1.047358036,-0.509153068,0.538204968,-0.692462697,0.131071311,-421.0173196,-0.66916132,-0.538245976
65,78,156,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.42721574,0.072730884,-3.417725921,-0.42721574,-0.354484856,835,3.123416859,-1.130668759,-0.752469242,0.378199518,-0.954999251,0.078996814,-797.424375,-0.941567659,-0.868838131,604,3.114458874,-1.076450944,-0.741890848,0.334560096,-0.894311849,0.076758386,-540.1643569,-0.887352586,-0.800073862
66,79,158,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.354485542,0.102856033,-2.835884333,-0.354484856,-0.20902583,839,3.138379335,-1.087029457,-0.519731522,0.567297935,-0.807705554,0.131626456,-677.6649595,-0.781559408,-0.650646865,608,3.135084429,-0.974628568,-0.814620316,0.160008252,-0.889027124,0.02869469,-540.5284916,-0.887352586,-0.843713224
67,80,160,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.451459368,0.118769036,-4.063134313,-0.354484856,-0.354484856,830,3.104713764,-0.796105862,-0.156078458,0.640027404,-0.498524717,0.138750207,-413.7755149,-0.490638614,-0.301537454,604,3.114458874,-1.323735237,-0.770983756,0.552751482,-0.991823857,0.131542487,-599.0616097,-0.974628568,-0.82916677
