OID_,ORIG_FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
270,270,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.424999713897705,0.043301435370459,139.399997711181641,17.399999618530273,17.500000000000000
271,271,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.399999618530273,0.066666920979818,156.599996566772461,17.399999618530273,17.500000000000000
272,272,8.000000000000000,2.879999999999032,17.399999618530273,17.600000381469727,0.200000762939453,17.449999809265133,0.070710947858486,139.599998474121065,17.399999618530273,17.530000114440917
273,273,12.000000000000000,4.319999999998548,17.399999618530273,17.500000000000000,0.100000381469727,17.449999809265137,0.050000190734863,209.399997711181641,17.449999809265137,17.500000000000000
274,274,9.000000000000000,3.239999999998911,17.399999618530273,17.600000381469727,0.200000762939453,17.500000000000004,0.047140631905658,157.500000000000028,17.500000000000000,17.520000076293947
275,275,9.000000000000000,3.239999999998911,17.399999618530273,17.600000381469727,0.200000762939453,17.466666539510090,0.066666920979818,157.199998855590820,17.500000000000000,17.520000076293947
276,276,12.000000000000000,4.319999999998548,17.299999237060547,17.500000000000000,0.200000762939453,17.441666444142658,0.064009792075953,209.299997329711914,17.449999809265137,17.500000000000000
277,277,8.000000000000000,2.879999999999032,17.399999618530273,17.600000381469727,0.200000762939453,17.474999904632568,0.066144035095122,139.799999237060547,17.500000000000000,17.530000114440917
278,278,9.000000000000000,3.239999999998911,17.399999618530273,17.500000000000000,0.100000381469727,17.422221925523544,0.041574129556267,156.799997329711914,17.399999618530273,17.500000000000000
279,279,9.000000000000000,3.239999999998911,17.399999618530273,17.600000381469727,0.200000762939453,17.500000000000000,0.066666920979818,157.500000000000000,17.500000000000000,17.600000381469727
280,280,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.437499761581417,0.069597320027069,139.499998092651339,17.449999809265137,17.500000000000000
281,281,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.422221925523544,0.078567719842761,156.799997329711914,17.399999618530273,17.500000000000000
282,282,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.422221925523544,0.062854175874209,156.799997329711914,17.399999618530273,17.500000000000000
283,283,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.411110772026905,0.073703054272777,156.699996948242159,17.399999618530273,17.500000000000000
284,284,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.388888465033638,0.056655988497872,156.499996185302734,17.399999618530273,17.419999694824220
285,285,9.000000000000000,3.239999999998911,17.299999237060547,17.600000381469727,0.300001144409180,17.455555386013454,0.095581756470103,157.099998474121094,17.399999618530273,17.600000381469727
286,286,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.399999618530273,0.047140631905657,156.599996566772461,17.399999618530273,17.419999694824220
287,287,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.422221925523544,0.091624918978165,156.799997329711914,17.500000000000000,17.500000000000000
288,288,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.424999713897705,0.043301435370459,139.399997711181641,17.399999618530273,17.500000000000000
289,289,10.000000000000000,3.599999999998790,17.299999237060547,17.500000000000000,0.200000762939453,17.409999656677247,0.053851853499080,174.099996566772461,17.399999618530273,17.500000000000000
290,290,9.000000000000000,3.239999999998911,17.299999237060547,17.600000381469727,0.300001144409180,17.433333079020183,0.094281263811314,156.899997711181641,17.399999618530273,17.520000076293947
291,291,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.424999713897702,0.043301435370458,139.399997711181612,17.399999618530273,17.500000000000000
292,292,11.000000000000000,3.959999999998669,17.299999237060547,17.500000000000000,0.200000762939453,17.390908674760297,0.079253010389465,191.299995422363281,17.399999618530273,17.500000000000000
293,293,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.377777311537002,0.078567719842761,156.399995803833008,17.399999618530273,17.500000000000000
294,294,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.399999618530273,0.081649969561500,156.599996566772461,17.399999618530273,17.500000000000000
295,295,9.000000000000000,3.239999999998911,17.200000762939453,17.399999618530273,0.199998855590820,17.333332909478081,0.066666497125913,155.999996185302734,17.299999237060547,17.399999618530273
296,296,8.000000000000000,2.879999999999032,17.200000762939453,17.399999618530273,0.199998855590820,17.312499523162842,0.059947675302733,138.499996185302734,17.299999237060547,17.399999618530273
297,297,9.000000000000000,3.239999999998911,17.200000762939453,17.399999618530273,0.199998855590820,17.311110602484810,0.056655572875250,155.799995422363281,17.299999237060547,17.399999618530273
298,298,10.000000000000000,3.599999999998790,17.299999237060547,17.399999618530273,0.100000381469727,17.359999465942384,0.048989981736900,173.599994659423828,17.399999618530273,17.399999618530273
299,299,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.377777311537002,0.062854175874209,156.399995803833008,17.399999618530273,17.419999694824220
300,300,9.000000000000000,3.239999999998911,17.299999237060547,17.399999618530273,0.100000381469727,17.377777311537002,0.041574129556268,156.399995803833008,17.399999618530273,17.399999618530273
301,301,12.000000000000000,4.319999999998548,17.299999237060547,17.399999618530273,0.100000381469727,17.358332792917892,0.049300852926274,208.299993515014705,17.399999618530273,17.399999618530273
302,302,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.411110772026905,0.073703054272777,156.699996948242159,17.399999618530273,17.500000000000000
303,303,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.377777311537002,0.062854175874209,156.399995803833008,17.399999618530273,17.419999694824220
304,304,8.000000000000000,2.879999999999032,17.200000762939453,17.500000000000000,0.299999237060547,17.362499713897705,0.085695557309216,138.899997711181641,17.399999618530273,17.429999732971190
305,305,8.000000000000000,2.879999999999032,17.200000762939453,17.399999618530273,0.199998855590820,17.324999570846558,0.066143584527832,138.599996566772461,17.299999237060547,17.399999618530273
306,306,9.000000000000000,3.239999999998911,17.299999237060547,17.399999618530273,0.100000381469727,17.366666158040367,0.047140631905657,156.299995422363310,17.399999618530273,17.399999618530273
307,307,9.000000000000000,3.239999999998911,17.200000762939453,17.500000000000000,0.299999237060547,17.366666369967991,0.081649536967099,156.299997329711914,17.399999618530273,17.419999694824220
308,308,12.000000000000000,4.319999999998548,17.299999237060547,17.500000000000000,0.200000762939453,17.366666158040363,0.062361194334402,208.399993896484375,17.399999618530273,17.399999618530273
309,309,9.000000000000000,3.239999999998911,17.299999237060547,17.399999618530273,0.100000381469727,17.377777311537002,0.041574129556269,156.399995803833008,17.399999618530273,17.399999618530273
310,310,9.000000000000000,3.239999999998911,17.399999618530273,17.600000381469727,0.200000762939453,17.500000000000000,0.047140631905657,157.500000000000000,17.500000000000000,17.520000076293947
311,311,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.424999713897705,0.066144035095122,139.399997711181641,17.399999618530273,17.500000000000000
312,312,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.412499666213989,0.033072017547561,139.299997329711914,17.399999618530273,17.429999732971190
